1539763183603,34.83,35.29,-0.46,-0.58
1539763183800,34.91,35.31,-0.40,-0.59
1539763184000,34.93,35.43,-0.50,-0.59
1539763184198,34.97,35.37,-0.40,-0.59
1539763184403,34.91,35.35,-0.44,-0.59
1539763184603,34.77,35.43,-0.66,-0.58
1539763184799,34.81,35.39,-0.58,-0.58
1539763185004,34.77,35.43,-0.66,-0.58
1539763185201,34.75,35.45,-0.70,-0.58
1539763185402,34.77,35.43,-0.66,-0.58
1539763185598,34.75,35.43,-0.68,-0.58
1539763185799,34.71,35.39,-0.68,-0.58
1539763186004,34.77,35.37,-0.60,-0.58
1539763186201,34.85,35.31,-0.46,-0.58
1539763186401,34.85,35.31,-0.46,-0.58
1539763186598,34.83,35.35,-0.52,-0.58
1539763186802,34.81,35.29,-0.48,-0.58
1539763186999,34.77,35.23,-0.46,-0.58
1539763187200,34.89,35.29,-0.40,-0.58
1539763187396,34.85,35.29,-0.44,-0.58
1539763187597,34.85,35.27,-0.42,-0.58
1539763187807,34.91,35.29,-0.38,-0.58
1539763187998,34.91,35.31,-0.40,-0.57
1539763188199,34.93,35.39,-0.46,-0.57
1539763188396,34.97,35.35,-0.38,-0.57
1539763188601,34.97,35.35,-0.38,-0.56
1539763188797,34.93,35.39,-0.46,-0.56
1539763188998,34.91,35.37,-0.46,-0.56
1539763189195,34.77,35.37,-0.60,-0.55
1539763189399,34.69,35.37,-0.68,-0.55
1539763189600,34.71,35.39,-0.68,-0.55
1539763189796,34.81,35.39,-0.58,-0.55
1539763190002,34.83,35.37,-0.54,-0.55
1539763190198,34.83,35.37,-0.54,-0.54
1539763190399,34.83,35.37,-0.54,-0.54
1539763190595,34.89,35.35,-0.46,-0.54
1539763190800,34.91,35.31,-0.40,-0.54
1539763190997,34.85,35.31,-0.46,-0.54
1539763191197,34.83,35.31,-0.48,-0.54
1539763191402,34.83,35.35,-0.52,-0.54
1539763191599,34.83,35.29,-0.46,-0.54
1539763191799,34.85,35.31,-0.46,-0.53
1539763191995,34.89,35.31,-0.42,-0.53
1539763192197,34.85,35.39,-0.54,-0.53
1539763192397,34.97,35.29,-0.32,-0.53
1539763192598,34.91,35.29,-0.38,-0.53
1539763192794,34.97,35.35,-0.38,-0.52
1539763192995,34.99,35.31,-0.32,-0.52
1539763193192,35.07,35.35,-0.28,-0.52
1539763193397,34.89,35.31,-0.42,-0.52
1539763193598,34.77,35.31,-0.54,-0.51
1539763193794,34.75,35.31,-0.56,-0.51
1539763193998,34.83,35.31,-0.48,-0.51
1539763194196,34.89,35.29,-0.40,-0.50
1539763194396,34.77,35.15,-0.38,-0.50
1539763194593,34.77,35.07,-0.30,-0.50
1539763194798,34.81,35.01,-0.20,-0.50
1539763194998,34.83,34.91,-0.08,-0.49
1539763195195,34.81,34.93,-0.12,-0.49
1539763195400,34.75,34.85,-0.10,-0.48
1539763195596,34.83,34.89,-0.06,-0.47
1539763195797,34.75,34.85,-0.10,-0.47
1539763195993,34.85,34.83,0.02,-0.46
1539763196198,34.91,34.83,0.08,-0.45
1539763196394,34.91,34.83,0.08,-0.44
1539763196596,34.93,34.85,0.08,-0.43
1539763196792,34.91,34.83,0.08,-0.42
1539763196997,34.85,34.77,0.08,-0.40
1539763197193,34.85,34.83,0.02,-0.39
1539763197394,34.85,34.75,0.10,-0.38
1539763197591,34.83,34.77,0.06,-0.36
1539763197796,34.83,34.77,0.06,-0.35
1539763197992,34.81,34.77,0.04,-0.33
1539763198193,34.83,34.75,0.08,-0.32
1539763198398,34.83,34.81,0.02,-0.31
