1539762654599,315,-1.32,0.04
1539762748402,35.13,35.67,-0.54,-0.69
1539762748598,35.19,35.67,-0.48,-0.68
1539762748800,35.19,35.67,-0.48,-0.68
1539762749004,35.09,35.67,-0.58,-0.67
1539762749201,35.07,35.59,-0.52,-0.67
1539762749402,34.99,35.61,-0.62,-0.67
1539762749598,34.91,35.63,-0.72,-0.66
1539762749803,34.91,35.69,-0.78,-0.66
1539762749999,34.97,35.69,-0.72,-0.66
1539762750200,34.97,35.71,-0.74,-0.65
1539762750404,34.93,35.69,-0.76,-0.65
1539762750602,35.05,35.67,-0.62,-0.65
1539762750802,35.01,35.63,-0.62,-0.65
1539762750999,35.01,35.67,-0.66,-0.65
1539762751200,35.01,35.59,-0.58,-0.65
1539762751396,34.99,35.59,-0.60,-0.65
1539762751601,34.97,35.59,-0.62,-0.65
1539762751801,34.93,35.53,-0.60,-0.65
1539762751998,34.85,35.55,-0.70,-0.65
1539762752203,34.89,35.55,-0.66,-0.65
1539762752400,34.91,35.53,-0.62,-0.65
1539762752600,34.99,35.55,-0.56,-0.65
1539762752797,35.05,35.61,-0.56,-0.65
1539762753001,35.05,35.55,-0.50,-0.65
1539762753198,35.05,35.53,-0.48,-0.65
1539762753399,35.05,35.55,-0.50,-0.64
1539762753600,35.05,35.55,-0.50,-0.64
1539762753796,35.05,35.61,-0.56,-0.64
1539762754001,35.07,35.59,-0.52,-0.64
1539762754198,35.13,35.61,-0.48,-0.64
1539762754399,35.13,35.61,-0.48,-0.63
1539762754595,35.05,35.59,-0.54,-0.63
1539762754800,35.05,35.55,-0.50,-0.63
1539762755000,35.05,35.55,-0.50,-0.63
1539762755197,35.07,35.55,-0.48,-0.62
1539762755398,34.99,35.53,-0.54,-0.62
1539762755598,34.99,35.55,-0.56,-0.62
1539762755799,34.97,35.61,-0.64,-0.61
1539762755996,34.93,35.59,-0.66,-0.61
1539762756197,34.93,35.55,-0.62,-0.61
1539762756401,34.91,35.55,-0.64,-0.61
1539762756598,34.93,35.53,-0.60,-0.60
1539762756799,34.85,35.59,-0.74,-0.60
1539762756995,34.93,35.55,-0.62,-0.60
1539762757200,34.93,35.61,-0.68,-0.60
1539762757397,35.01,35.59,-0.58,-0.60
1539762757597,35.05,35.53,-0.48,-0.60
1539762757798,35.05,35.55,-0.50,-0.60
1539762757994,35.07,35.55,-0.48,-0.60
1539762758199,35.09,35.63,-0.54,-0.60
1539762758396,35.19,35.55,-0.36,-0.60
1539762758596,35.15,35.63,-0.48,-0.60
1539762758793,35.07,35.63,-0.56,-0.60
1539762758998,35.05,35.63,-0.58,-0.59
1539762759195,34.99,35.55,-0.56,-0.59
1539762759395,34.97,35.55,-0.58,-0.59
1539762759600,34.93,35.59,-0.66,-0.59
1539762759797,34.99,35.59,-0.60,-0.59
1539762759998,34.99,35.55,-0.56,-0.59
1539762760194,35.01,35.61,-0.60,-0.59
1539762760394,34.91,35.53,-0.62,-0.59
1539762760595,34.85,35.53,-0.68,-0.59
1539762760796,34.85,35.53,-0.68,-0.58
1539762760997,34.85,35.53,-0.68,-0.58
1539762761194,34.93,35.59,-0.66,-0.59
1539762761398,34.97,35.53,-0.56,-0.59
1539762761595,35.01,35.53,-0.52,-0.59
1539762761795,35.05,35.51,-0.46,-0.59
1539762761992,35.15,35.55,-0.40,-0.59
1539762762196,35.05,35.55,-0.50,-0.58
1539762762397,35.07,35.53,-0.46,-0.58
1539762762594,35.05,35.53,-0.48,-0.58
1539762762794,35.05,35.53,-0.48,-0.58
1539762762996,35.05,35.51,-0.46,-0.58
1539762763196,34.97,35.59,-0.62,-0.57
1539762763393,34.85,35.55,-0.70,-0.57
1539762763594,34.75,35.51,-0.76,-0.57
1539762763791,34.77,35.59,-0.82,-0.57
1539762763995,34.77,35.53,-0.76,-0.57
1539762764196,34.83,35.53,-0.70,-0.57
1539762764392,34.89,35.51,-0.62,-0.58
1539762764597,34.83,35.53,-0.70,-0.58
1539762764794,34.85,35.51,-0.66,-0.58
1539762764994,34.77,35.53,-0.76,-0.58
1539762765191,34.77,35.45,-0.68,-0.59
1539762765392,34.75,35.43,-0.68,-0.59
1539762765596,34.75,35.39,-0.64,-0.59
1539762765793,34.69,35.43,-0.74,-0.59
1539762765994,34.75,35.45,-0.70,-0.60
1539762766191,34.83,35.47,-0.64,-0.60
1539762766395,34.85,35.47,-0.62,-0.60
1539762766592,34.99,35.43,-0.44,-0.61
1539762766792,35.01,35.43,-0.42,-0.61
1539762766996,35.01,35.37,-0.36,-0.61
1539762767193,35.07,35.43,-0.36,-0.61
1539762767394,35.21,35.37,-0.16,-0.61
1539762767590,35.15,35.39,-0.24,-0.61
1539762767796,35.19,35.45,-0.26,-0.60
1539762767992,35.05,35.45,-0.40,-0.60
1539762768194,34.93,35.45,-0.52,-0.59
1539762768390,34.93,35.45,-0.52,-0.59
1539762768594,34.99,35.45,-0.46,-0.58
1539762768791,35.05,35.45,-0.40,-0.58
