1540346915318,38.33,28.05,10.28,10.79
1540346915518,38.29,28.07,10.22,10.79
1540346915715,38.29,28.01,10.28,10.76
1540346915920,38.29,27.99,10.30,10.75
1540346916120,38.35,27.99,10.36,10.73
1540346916317,38.35,28.07,10.28,10.71
1540346916521,38.29,28.13,10.16,10.71
1540346916718,38.29,28.19,10.10,10.68
1540346916919,38.27,28.13,10.14,10.67
1540346917116,38.29,28.25,10.04,10.66
1540346917321,38.29,28.19,10.10,10.63
1540346917517,38.25,28.11,10.14,10.63
1540346917718,38.29,28.17,10.12,10.60
1540346917915,38.25,28.17,10.08,10.59
1540346918119,38.29,28.05,10.24,10.57
1540346918316,38.29,28.05,10.24,10.55
1540346918517,38.25,28.17,10.08,10.54
1540346918713,38.25,28.05,10.20,10.52
1540346918918,38.27,27.95,10.32,10.51
1540346919115,38.25,27.95,10.30,10.50
1540346919315,38.29,27.91,10.38,10.48
1540346919516,38.21,27.93,10.28,10.48
1540346919717,38.25,27.95,10.30,10.46
1540346919913,38.29,27.87,10.42,10.45
1540346920114,38.25,27.87,10.38,10.44
1540346920318,38.17,28.05,10.12,10.43
1540346920515,38.19,28.01,10.18,10.43
1540346920715,38.25,28.07,10.18,10.41
1540346920917,38.13,28.01,10.12,10.41
1540346921118,38.21,27.99,10.22,10.40
1540346921314,38.25,27.95,10.30,10.39
1540346921515,38.27,27.91,10.36,10.39
1540346921715,38.19,27.99,10.20,10.37
1540346921917,38.25,28.05,10.20,10.37
1540346922112,38.29,28.01,10.28,10.37
1540346922313,38.25,28.01,10.24,10.35
1540346922514,38.25,28.01,10.24,10.36
1540346922715,38.25,28.01,10.24,10.34
1540346922911,38.19,27.95,10.24,10.34
1540346923116,38.19,27.91,10.28,10.34
1540346923313,38.25,28.01,10.24,10.32
1540346923514,38.27,27.91,10.36,10.33
1540346923710,38.25,27.87,10.38,10.32
1540346923915,38.21,27.85,10.36,10.32
1540346924111,38.25,27.81,10.44,10.32
1540346924312,38.25,27.87,10.38,10.31
1540346924517,38.25,27.91,10.34,10.32
1540346924714,38.27,27.87,10.40,10.30
1540346924914,38.25,27.87,10.38,10.31
1540346925111,38.25,27.93,10.32,10.31
1540346925316,38.25,27.81,10.44,10.30
1540346925512,38.29,27.75,10.54,10.31
1540346925713,38.27,27.73,10.54,10.30
1540346925910,38.29,27.79,10.50,10.31
1540346926114,38.29,27.91,10.38,10.31
1540346926311,38.29,27.87,10.42,10.31
1540346926511,38.25,27.79,10.46,10.32
1540346926708,38.27,27.85,10.42,10.32
1540346926913,38.29,27.85,10.44,10.32
1540346927110,38.33,27.91,10.42,10.33
1540346927310,38.29,27.93,10.36,10.32
1540346927506,38.33,27.95,10.38,10.34
1540346927712,38.29,27.95,10.34,10.33
1540346927913,38.27,28.05,10.22,10.34
1540346928109,38.33,27.93,10.40,10.34
1540346928310,38.29,27.93,10.36,10.34
1540346928511,38.29,27.93,10.36,10.35
1540346928711,38.33,27.93,10.40,10.34
1540346928908,38.29,27.87,10.42,10.35
1540346929113,38.33,27.93,10.40,10.35
1540346929309,38.25,28.01,10.24,10.34
1540346929510,38.35,28.05,10.30,10.35
1540346929706,38.33,28.07,10.26,10.35
1540346929911,38.33,28.05,10.28,10.35
1540346930108,38.33,28.05,10.28,10.35
1540346930308,38.29,28.05,10.24,10.35
1540346930504,38.35,27.99,10.36,10.36
1540346930710,38.33,27.99,10.34,10.35
1540346930906,38.41,27.93,10.48,10.35
1540346931108,38.29,27.93,10.36,10.35
1540346931304,38.33,27.91,10.42,10.35
1540346931509,38.33,27.81,10.52,10.36
1540346931705,38.35,27.87,10.48,10.35
1540346931906,38.37,27.95,10.42,10.35
1540346932111,38.35,27.95,10.40,10.35
1540346932307,38.33,27.93,10.40,10.35
1540346932508,38.33,27.95,10.38,10.36
1540346932705,38.33,27.93,10.40,10.35
1540346932910,38.29,28.01,10.28,10.36
1540346933106,38.29,27.95,10.34,10.36
1540346933307,38.27,28.05,10.22,10.35
1540346933503,38.33,28.05,10.28,10.36
1540346933708,38.35,28.13,10.22,10.36
1540346933905,38.27,28.05,10.22,10.36
1540346934105,38.35,28.05,10.30,10.36
1540346934302,38.33,28.01,10.32,10.35
1540346934507,38.33,28.11,10.22,10.36
1540346934703,38.29,28.01,10.28,10.35
1540346934904,38.27,28.05,10.22,10.35
1540346935101,38.35,28.07,10.28,10.35
1540346935305,38.35,28.05,10.30,10.34
1540346935502,38.27,28.01,10.26,10.35
1540346935703,38.35,28.01,10.34,10.34
1540346935899,38.35,27.99,10.36,10.34
1540346936104,38.33,28.05,10.28,10.34
1540346936304,38.27,27.99,10.28,10.34
1540346936501,38.27,27.95,10.32,10.34
1540346936707,38.33,28.01,10.32,10.33
1540346936902,38.35,28.01,10.34,10.34
1540346937104,38.37,27.99,10.38,10.34
