1540344127486,37.99,32.81,5.18,5.44
1540344127688,38.03,32.91,5.12,5.43
1540344127884,37.91,32.97,4.94,5.42
1540344128089,38.01,32.89,5.12,5.41
1540344128285,38.05,32.69,5.36,5.40
1540344128486,38.03,32.71,5.32,5.40
1540344128683,38.01,32.77,5.24,5.39
1540344128884,38.05,32.91,5.14,5.38
1540344129080,38.01,32.95,5.06,5.37
1540344129284,37.99,33.03,4.96,5.36
1540344129485,37.91,33.03,4.88,5.36
1540344129682,37.99,32.99,5.00,5.35
1540344129887,38.03,33.03,5.00,5.34
1540344130083,38.03,33.03,5.00,5.33
1540344130284,37.99,32.99,5.00,5.32
1540344130480,37.95,32.91,5.04,5.31
1540344130682,37.93,32.71,5.22,5.30
1540344130886,38.01,32.81,5.20,5.29
1540344131083,37.99,32.89,5.10,5.28
1540344131283,38.01,32.91,5.10,5.27
1540344131480,37.99,32.91,5.08,5.27
1540344131685,37.99,32.97,5.02,5.26
1540344131882,37.99,32.91,5.08,5.25
1540344132082,37.95,32.85,5.10,5.25
1540344132278,37.99,32.85,5.14,5.24
1540344132484,37.95,32.89,5.06,5.23
1540344132684,37.99,32.77,5.22,5.22
1540344132881,37.99,32.71,5.28,5.22
1540344133081,37.99,32.69,5.30,5.22
1540344133278,37.99,32.61,5.38,5.21
1540344133483,37.99,32.59,5.40,5.21
1540344133680,37.93,32.47,5.46,5.20
